City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
347,tercan,39.7794,40.3925,10.99,78,100,3.34,TR,1697662936
348,valdivia,-39.8142,-73.2459,15.05,81,80,2.45,CL,1697662936
349,rexburg,43.826,-111.7897,18.63,37,0,4.12,US,1697662936
350,new norfolk,-42.7826,147.0587,10.95,63,97,1.01,AU,1697662936
351,prado,-17.3411,-39.2208,24.54,78,12,5.6,BR,1697662936
352,kingscliff,-28.2667,153.5667,19.29,68,100,4.63,AU,1697662937
353,kourou,5.1552,-52.6478,27.03,78,76,5.06,GF,1697662937
354,uttarkashi,30.7333,78.45,12.98,54,0,2.9,IN,1697662937
355,gadzhiyevo,69.2551,33.3362,1.35,61,100,9.46,RU,1697662937
356,hilo,19.7297,-155.09,28.47,72,20,3.6,US,1697662686
357,tahe,52.3333,124.7333,-0.66,61,67,5.33,CN,1697662937
358,"laikit, laikit ii (dimembe)",1.4792,124.9735,20.47,94,20,1.03,ID,1697662937
359,az zuwaytinah,30.9522,20.1202,24.69,42,0,2.25,LY,1697662938
360,yilan,24.757,121.753,26.09,92,84,1.26,TW,1697662914
361,penzance,50.1186,-5.5371,15.38,93,86,6.53,GB,1697662909
